127.0.0.1 - - [26/Nov/2021:01:06:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:06:41 +0530] "GET /psc_web_app/ HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:06:41 +0530] "GET /psc_web_app/LoginAssets/LoginCSS.css HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:06:41 +0530] "GET /psc_web_app/LoginAssets/LoginImages/PSC_Logo.png HTTP/1.1" 200 24558
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:06:41 +0530] "GET /psc_web_app/LoginAssets/LoginImages/paddy1.jpg HTTP/1.1" 200 131091
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:06:55 +0530] "POST /psc_web_app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:06:55 +0530] "GET /psc_web_app/collectionOfficerDashboard.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:16:20 +0530] "POST /psc_web_app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:16:21 +0530] "GET /psc_web_app/collectionOfficerDashboard.jsp HTTP/1.1" 200 10780
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:16:21 +0530] "GET /plc-web-application-login/ManagerAssets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:16:21 +0530] "GET /plc-web-application-login/ManagerAssets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:16:21 +0530] "GET /plc-web-application-login/ManagerAssets/vendor/remixicon/remixicon.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:16:21 +0530] "GET /plc-web-application-login/ManagerAssets/vendor/aos/aos.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:16:21 +0530] "GET /plc-web-application-login/ManagerAssets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:16:21 +0530] "GET /plc-web-application-login/ManagerAssets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:16:21 +0530] "GET /psc_web_app/assets/img/logo_final.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:16:21 +0530] "GET /plc-web-application-login/ManagerAssets/css/style.css HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:18:34 +0530] "POST /psc_web_app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:18:35 +0530] "GET /psc_web_app/collectionOfficerDashboard.jsp HTTP/1.1" 200 10850
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:18:35 +0530] "GET /plc-web-application-login/CollectionOfficerAssets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:18:35 +0530] "GET /plc-web-application-login/CollectionOfficerAssets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:18:35 +0530] "GET /plc-web-application-login/CollectionOfficerAssets/vendor/remixicon/remixicon.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:18:35 +0530] "GET /plc-web-application-login/CollectionOfficerAssets/vendor/aos/aos.css HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:18:35 +0530] "GET /plc-web-application-login/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:18:35 +0530] "GET /plc-web-application-login/CollectionOfficerAssets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:18:35 +0530] "GET /plc-web-application-login/CollectionOfficerAssets/css/style.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:18:55 +0530] "POST /psc_web_app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:19:03 +0530] "GET /psc_web_app/assets/img/logo_final.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:19:03 +0530] "GET /psc_web_app/collectionOfficerDashboard.jsp HTTP/1.1" 200 10850
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:19:03 +0530] "GET /plc-web-application-login/CollectionOfficerAssets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:19:03 +0530] "GET /plc-web-application-login/CollectionOfficerAssets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:19:03 +0530] "GET /plc-web-application-login/CollectionOfficerAssets/vendor/aos/aos.css HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:19:03 +0530] "GET /plc-web-application-login/CollectionOfficerAssets/vendor/remixicon/remixicon.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:19:03 +0530] "GET /plc-web-application-login/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:19:03 +0530] "GET /plc-web-application-login/CollectionOfficerAssets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:19:03 +0530] "GET /plc-web-application-login/CollectionOfficerAssets/css/style.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:11 +0530] "POST /psc_web_app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:11 +0530] "GET /psc_web_app/collectionOfficerDashboard.jsp HTTP/1.1" 200 10210
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:11 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:11 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 73226
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:11 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 15562
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13785
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/css/style.css HTTP/1.1" 200 47569
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/php-email-form/validate.js HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/purecounter/purecounter.js HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 135574
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:21:12 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
