127.0.0.1 - - [03/Dec/2021:05:12:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:12:35 +0530] "GET /psc_web_app/ HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:12:35 +0530] "GET /psc_web_app/LoginAssets/LoginCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:12:35 +0530] "GET /psc_web_app/LoginAssets/LoginImages/PSC_Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:12:35 +0530] "GET /psc_web_app/LoginAssets/LoginImages/paddy1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:10 +0530] "POST /psc_web_app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:10 +0530] "GET /psc_web_app/dashboardlist HTTP/1.1" 200 8031
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:10 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 163891
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:10 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 73226
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:10 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:10 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:10 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13785
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:10 +0530] "GET /psc_web_app/CollectionOfficerAssets/css/style.css HTTP/1.1" 200 50298
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:10 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 15562
0:0:0:0:0:0:0:1 - - [03/Dec/2021:05:13:10 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
